Place,Movie Title,Rating,Year,Reviews
1,Tapish,6.5,2000,2
2,Yamam,No ratings,2000,0
3,Kannan Varuvaan,6.2,2000,1
4,Vamsee,4.6,2000,0
5,Natth,No ratings,2000,0
6,HARJEET,No ratings,2000,0
7,Saugandh,No ratings,2000,0
8,Agniputra,5.1,2000,1
9,Justice Chowdhary,4.6,2000,1
10,Babu Badshah,No ratings,2000,0
11,Qurbaniyaan,4.6,2000,0
12,Ganga Dacait,No ratings,2000,0
13,Kaala Mandir,3.6,2000,0
14,Meri Parchaien,No ratings,2000,0
15,Khoonkar Darinde,No ratings,2000,0
16,Bhoot Raaj,3.7,2000,0
17,The Naked Truth,No ratings,2000,0
18,Johra Bai,No ratings,2000,0
19,Lady Dacoit,No ratings,2000,0
20,Champakali,4.7,2000,0
21,Krishna Tere Desh Mein,No ratings,2000,0
22,Jwala Daku,No ratings,2000,0
23,Ek Nari Do Roop,No ratings,2000,0
24,Jai Bhavani,No ratings,2000,0
25,Rani Mera Naam,No ratings,2000,0
26,Basanti,4.4,2000,0
27,Bhootni,No ratings,2000,0
28,Khooni Shikanja,No ratings,2000,0
29,Uff Yeh Nasha,No ratings,2000,0
30,Sultana Mera Naam,No ratings,2000,0
31,Haseeno Ka Mela,No ratings,2000,0
32,Zindagi,2.8,2000,0
33,Jigar Baaz,No ratings,2000,0
34,Khooni Kangan,No ratings,2000,0
35,Adhuri Suhagraat,No ratings,2000,0
36,Aaja Mere Raja,No ratings,2000,0
37,Aurat Mange Insaaf,No ratings,2000,0
38,Baaghi Aurat,No ratings,2000,0
39,Bandh Kamre Hain,No ratings,2000,0
40,Bharat India Hindustan,No ratings,2000,0
41,Bhayanak Maut,7.4,2000,0
42,Bhoot Hi Bhoot,No ratings,2000,0
43,Bijlee,No ratings,2000,0
44,Chehrey Ke Peechhey,No ratings,2000,0
45,Chura Liya Hai Tumne Jo Dil Ko,No ratings,2000,0
46,Chudail Ki Raat,No ratings,2000,0
47,Daku Rani Champa Bai,No ratings,2000,0
48,Club Dancer No.1 Gulabi Raatein,No ratings,2000,0
49,Bali Umar,No ratings,2000,0
50,Daku Rani,No ratings,2000,0
