Place,Movie Title,Rating,Year,Reviews
"2,001",Mission: The Last War,6.8,2008,0
"2,002",8 PM: A Murder Mystery,4.6,2008,0
"2,008",Phir Tauba Tauba,3.4,2008,0
"2,009",My Name Is Anthony Gonsalves,3.9,2008,5
"2,010",Halla Bol,6.1,2008,11
"2,011",Pazhani,2.8,2008,1
"2,012",Bombay to Bangkok,4.7,2008,10
"2,013",Tulsi: Mathrudevobhava,6.2,2008,3
"2,014",Sunday,5.5,2008,18
"2,015",Mr. Medhavi,6.0,2008,1
"2,016",Rama Rama Kya Hai Dramaaa,4.0,2008,5
"2,018",Superstar,6.1,2008,5
"2,019",Mithya,7.1,2008,4
"2,020",Visakha Express,5.0,2008,1
"2,021",Jodhaa Akbar,7.5,2008,4
"2,022",Dhara,4.8,2008,0
"2,023",Tathagatha Buddha The Life & Times of Gautama Buddha,8.0,2008,0
"2,024",Black & White,6.2,2008,9
"2,026",Kabhi Socha Bhi Na Tha,6.2,2008,0
"2,027",26th July at Barista,3.2,2008,1
"2,028",Race,6.6,2008,19
"2,029",One Two Three,5.4,2008,16
"2,030","Lovesongs: Yesterday, Today & Tomorrow",5.1,2008,0
"2,031",Antardwand,7.3,2008,13
"2,032",Shaurya: It Takes Courage to Make Right... Right,7.3,2008,6
"2,033",Bhram: An Illusion,4.1,2008,4
"2,034",U Me Aur Hum,5.9,2008,11
"2,035",Kahaani Gudiya Ki...: True Story of a Woman,6.3,2008,0
"2,036",Krazzy 4,4.2,2008,12
"2,037",Pehli Nazar Ka Pyaar,5.0,2008,0
"2,039",Yaar Meri Zindagi,4.8,2008,3
"2,040",Tashan,3.8,2008,3
"2,041",Sirf....: Life Looks Greener on the Other Side,5.9,2008,3
"2,042",Mumbai Cutting,6.1,2008,0
"2,043",Anamika: The Untold Story,3.7,2008,5
"2,044",Mr. White Mr. Black,3.4,2008,2
"2,045",Pranali: The Tradition,5.8,2008,1
"2,046",Bhootnath,6.3,2008,24
"2,047",Jimmy,1.7,2008,8
"2,048",Karma: Crime. Passion. Reincarnation,5.1,2008,1
"2,049",Jannat: In Search of Heaven...,6.9,2008,7
"2,050",Dhoom Dadakka,3.5,2008,1
"2,051",Don Muthu Swami,5.0,2008,1
"2,052",Ghatothkach,7.2,2008,0
"2,053",Woodstock Villa,3.5,2008,11
"2,055",Sarkar Raj,6.7,2008,2
"2,056",Aamir,7.6,2008,6
"2,057",Hum Sey Hai Jahaan,3.9,2008,0
"2,058",Mere Baap Pehle Aap,5.4,2008,14
"2,059",Summer 2007,6.4,2008,5
"2,060",Dashavatar,6.4,2008,7
"2,061",Memsahab,7.0,2008,0
"2,062",De Taali,4.2,2008,6
"2,063",Haal-e-Dil,3.5,2008,0
"2,064",Khushboo: The Fragraance of Love,4.0,2008,1
"2,065",Thodi Life Thoda Magic,4.1,2008,0
"2,067",Thoda Pyaar Thoda Magic,4.9,2008,19
"2,068",Via Darjeeling,5.4,2008,5
"2,069",Jaane Tu... Ya Jaane Na,7.4,2008,1
"2,070",Love Story 2050,2.6,2008,19
"2,071",Mehbooba,3.8,2008,6
"2,072",Khela,7.3,2008,3
"2,073",When Kiran Met Karen,5.2,2008,0
"2,074",Kismat Konnection,5.3,2008,23
"2,075",Contract,4.1,2008,8
"2,076",Money Hai Toh Honey Hai,2.9,2008,11
"2,077",Mission Istaanbul: Darr Ke Aagey Jeet Hai!,3.5,2008,22
"2,079",Kuselan,4.8,2008,8
"2,080",Ugly Aur Pagli,3.8,2008,18
"2,081",Singh Is Kinng,5.7,2008,14
"2,082",Good Luck!,3.1,2008,0
"2,083",Y.M.I. Yeh Mera India,7.7,2008,15
"2,084",Bachna Ae Haseeno,6.2,2008,13
"2,085",God Tussi Great Ho,3.6,2008,16
"2,086",Sathyam,5.0,2008,0
"2,087",Maan Gaye Mughall-E-Azam,3.2,2008,12
"2,088",Mumbai Meri Jaan,7.7,2008,17
"2,089",Phoonk,3.9,2008,15
"2,090",My Friend Ganesha 2,5.2,2008,1
"2,091",Mukhbiir,6.9,2008,5
"2,092",C Kkompany,5.5,2008,9
"2,093",Rock On!!,7.7,2008,12
"2,094",Chamku,4.5,2008,14
